Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2009-01-02,2009,Waterbury,111440.0,185000.0,Single Family,Detached House,3,3,996.0,1.025953,South
2009-01-02,2009,Bridgeport,124670.0,150000.0,Two Family,Duplex,4,3,1241.0,1.025953,South
2009-01-02,2009,Waterbury,55720.0,140000.0,Single Family,Detached House,3,2,910.0,1.025953,South
2009-01-02,2009,Bridgeport,4775276.0,272900.0,Single Family,Detached House,3,1,971.0,1.025953,East
2009-01-02,2009,Bridgeport,112351.0,210000.0,?,Detached House,3,2,1092.0,1.025953,East
2009-01-02,2009,Greenwich,2868880.0,3300000.0,Single Family,Detached House,3,1,1039.0,1.025953,North
2009-01-02,2009,Norwalk,571060.0,1000000.0,Single Family,Detached House,3,2,,1.025953,South
2009-01-02,2009,Greenwich,592760.0,920000.0,Single Family,Detached House,3,3,937.0,1.025953,North
2009-01-02,2009,,603540.0,1680000.0,Single Family,Detached House,3,1,1039.0,1.025953,East
2009-01-02,2009,Bridgeport,137901.0,245000.0,Single Family,Detached House,3,1,956.0,1.025953,West
2009-01-03,2009,Bridgeport,122150.0,256500.0,Single Family,Detached House,3,1,926.0,1.025953,South
2009-01-03,2009,Norwalk,,1340000.0,Single Family,Detached House,3,1,936.0,1.025953,North
2009-01-03,2009,Bridgeport,103950.0,310000.0,Single Family,Detached House,3,2,997.0,1.025953,East
2009-01-03,2009,Greenwich,1046920.0,600000.0,Single Family,Detached House,3,3,1068.0,1.025953,South
2009-01-04,2009,Bridgeport,,300000.0,Three Family,Triplex,6,4,2174.0,1.025953,South
2009-01-04,2009,Norwalk,208880.0,370000.0,Single Family,Detached House,3,2,1063.0,1.025953,South
2009-01-05,2009,Waterbury,74620.0,206500.0,Single Family,Detached House,3,3,966.0,1.025953,South
2009-01-05,2009,Waterbury,51450.0,187900.0,Three Family,Triplex,6,5,1825.0,1.025953,North
2009-01-05,2009,Bridgeport,97719.0,265000.0,Two Family,Duplex,4,2,,1.025953,North
2009-01-05,2009,Fairfield,793240.0,800000.0,Single Family,Detached House,3,1,1064.0,1.025953,South
2009-01-05,2009,Bridgeport,112630.0,235000.0,Two Family,Duplex,4,3,,1.025953,East
2009-01-05,2009,Greenwich,1162140.0,1990000.0,Single Family,Detached House,3,1,,1.025953,North
2009-01-08,2009,,1260560.0,1895000.0,Single Family,Detached House,3,3,1005.0,1.025953,South
2009-01-08,2009,,38640.0,115000.0,Three Family,Triplex,6,5,2104.0,1.025953,West
2009-01-08,2009,Norwalk,326550.0,500000.0,?,Detached House,3,3,,1.025953,South
2009-01-08,2009,Waterbury,56070.0,75000.0,Two Family,Duplex,4,2,1373.0,1.025953,West
2009-01-09,2009,Bridgeport,140910.0,254000.0,Single Family,Detached House,3,2,1093.0,1.025953,West
2009-01-09,2009,Waterbury,56420.0,221600.0,Two Family,Duplex,4,4,1295.0,1.025953,South
2009-01-09,2009,Waterbury,23380.0,195000.0,Three Family,Triplex,6,5,1935.0,1.025953,West
2009-01-09,2009,Norwalk,154210.0,412000.0,Single Family,Detached House,3,1,955.0,1.025953,South
2009-01-10,2009,Waterbury,82320.0,290000.0,Single Family,Detached House,3,2,1038.0,1.025953,North
2009-01-10,2009,Bridgeport,,269900.0,Single Family,Detached House,3,1,1008.0,1.025953,West
2009-01-11,2009,Waterbury,41650.0,65000.0,?,Detached House,3,1,1026.0,1.025953,West
2009-01-12,2009,,1768340.0,2200000.0,Single Family,Detached House,3,2,994.0,1.025953,South
2009-01-12,2009,Fairfield,578270.0,860000.0,Single Family,Detached House,3,1,1060.0,1.025953,East
2009-01-12,2009,Bridgeport,128590.0,185400.0,Single Family,Detached House,3,3,,1.025953,North
2009-01-16,2009,,481110.0,765000.0,Single Family,Detached House,3,3,,1.025953,South
2009-01-16,2009,,201180.0,345000.0,Single Family,Detached House,3,2,1001.0,1.025953,South
2009-01-16,2009,,53778.0,145000.0,Single Family,Detached House,3,3,962.0,1.025953,East
2009-01-16,2009,,71190.0,237500.0,?,Duplex,4,2,1427.0,1.025953,North
2009-01-16,2009,,521360.0,660000.0,Single Family,Detached House,3,3,1023.0,1.025953,West
2009-01-16,2009,Greenwich,1692810.0,2750000.0,Single Family,Detached House,3,2,925.0,1.025953,West
2009-01-17,2009,Bridgeport,81620.0,220000.0,?,Duplex,4,2,1489.0,1.025953,West
2009-01-17,2009,Greenwich,1471050.0,2345000.0,Single Family,Detached House,3,1,1052.0,1.025953,North
2009-01-18,2009,,72240.0,80000.0,Two Family,Duplex,4,4,1451.0,1.025953,North
2009-01-19,2009,Fairfield,,185250.0,Single Family,Detached House,3,3,1023.0,1.025953,East
2009-01-19,2009,,3377220.0,7250000.0,Single Family,Detached House,3,2,901.0,1.025953,North
2009-01-19,2009,Norwalk,594230.0,1300000.0,?,Detached House,3,1,967.0,1.025953,North
2009-01-19,2009,Norwalk,314790.0,430000.0,Single Family,Detached House,3,2,1028.0,1.025953,West
