ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
Bihar,1951,1,1,MANER,GEN,RAMESHWAR PRASAD SHASTRI,M,,NODATA,INC,8240
Bihar,1951,1,2,MANER,GEN,JAGDEO PRASAD SINGH,M,,NODATA,IND,2429
Bihar,1951,1,3,MANER,GEN,BUDHDEO SINGH,M,,NODATA,IND,2226
Bihar,1951,1,4,MANER,GEN,RAJA NATH SINGH,M,,NODATA,IND,2171
Bihar,1951,1,5,MANER,GEN,PARMESHWAR RAI,M,,NODATA,SP,2095
Bihar,1951,1,6,MANER,GEN,KRISHNA SINGH,M,,NODATA,IND,1020
Bihar,1951,1,7,MANER,GEN,RAJENDRA PRASAD,M,,NODATA,FBL(MG),817
Bihar,1951,1,8,MANER,GEN,SHRI BHAGWAN SINGH,M,,NODATA,IND,621
Bihar,1951,3,1,PATNA WEST,GEN,BADRI NATH VERMA,M,,NODATA,INC,23452
Bihar,1951,3,2,PATNA WEST,GEN,MUNGERI LAL,M,,NODATA,INC,19304
Bihar,1951,3,3,PATNA WEST,GEN,DASU SINHA,M,,NODATA,UKS,8234
Bihar,1951,3,4,PATNA WEST,GEN,AWADHESH NANDAN SAHAY,M,,NODATA,SP,7030
Bihar,1951,3,5,PATNA WEST,GEN,RAM PRASAD,M,,NODATA,SP,5454
Bihar,1951,3,6,PATNA WEST,GEN,BANWARI LAL,M,,NODATA,KMPP,5085
Bihar,1951,3,7,PATNA WEST,GEN,PRAMANAND TRIVEDI,M,,NODATA,IND,4099
Bihar,1951,3,8,PATNA WEST,GEN,GAURI SHANKAR PRASAD NARAIN SINGH,M,,NODATA,IND,2691
Bihar,1951,3,9,PATNA WEST,GEN,HARI,M,,NODATA,FBL(MG),2665
Bihar,1951,3,10,PATNA WEST,GEN,JUGESHWAR BHAGAT,M,,NODATA,SCF,2288
Bihar,1951,3,11,PATNA WEST,GEN,CHANDRIKA PRASAD SINGH,M,,NODATA,RRP,1889
Bihar,1951,3,12,PATNA WEST,GEN,AMIN AHMAD,M,,NODATA,IND,1778
Bihar,1951,3,13,PATNA WEST,GEN,JAI RADHEY RAY,M,,NODATA,IND,1318
Bihar,1951,3,14,PATNA WEST,GEN,BHUNESHWAR SINGH,M,,NODATA,IND,1015
Bihar,1951,3,15,PATNA WEST,GEN,BASUDEO PRASAD,M,,NODATA,IND,1013
Bihar,1951,3,16,PATNA WEST,GEN,USMANUL HAQUE,M,,NODATA,IND,605
Bihar,1951,3,17,PATNA WEST,GEN,SHIRIS CHANDRA GUPTA,M,,NODATA,IND,475
Bihar,1951,4,1,PATNA EAST,GEN,NAWABZADA SYED MOHAMMAD MEHDI,M,,NODATA,INC,11664
Bihar,1951,4,2,PATNA EAST,GEN,RAMESHWAR PRASAD GUPTA,M,,NODATA,SP,3065
Bihar,1951,4,3,PATNA EAST,GEN,AMIN AHMAD,M,,NODATA,IND,2944
Bihar,1951,4,4,PATNA EAST,GEN,MAHANT HARIHAR DAS,M,,NODATA,IND,2285
Bihar,1951,4,5,PATNA EAST,GEN,MATHURA PRASAD RAI,M,,NODATA,BJS,1507
Bihar,1951,4,6,PATNA EAST,GEN,KAMLA KANT,M,,NODATA,KMPP,600
Bihar,1951,4,7,PATNA EAST,GEN,MANNA LAL,M,,NODATA,IND,435
Bihar,1951,4,8,PATNA EAST,GEN,RAM LAKSHMAN SHARMA,M,,NODATA,IND,393
Bihar,1951,4,9,PATNA EAST,GEN,GURU BACHHAN SINGH,M,,NODATA,RSP,302
Bihar,1951,4,10,PATNA EAST,GEN,RANJIT SINGH,M,,NODATA,IND,182
Bihar,1951,4,11,PATNA EAST,GEN,SATYA NARAIN PRASAD SINGH,M,,NODATA,IND,116
Bihar,1951,5,1,FATWA,GEN,DEO SARAN SINHA,M,,NODATA,INC,8481
Bihar,1951,5,2,FATWA,GEN,BRIJ NANDAN SINGH YADAV,M,,NODATA,IND,7753
Bihar,1951,5,3,FATWA,GEN,BASUDEO MAHATO,M,,NODATA,SP,2757
Bihar,1951,5,4,FATWA,GEN,GARIBANAND DAS,M,,NODATA,IND,2020
Bihar,1951,5,5,FATWA,GEN,BASUDEO NARAIN SINHA,M,,NODATA,IND,687
Bihar,1951,7,1,CHANDI,GEN,DHANRAJ SHARMA,M,,NODATA,INC,9725
Bihar,1951,7,2,CHANDI,GEN,JUGAL KISHORE SINGH YADAV,M,,NODATA,IND,5914
Bihar,1951,7,3,CHANDI,GEN,DEO LAL MAHTO,M,,NODATA,SP,4306
Bihar,1951,7,4,CHANDI,GEN,RAM NARAIN ALIAS KUMAR INDRAJIT SINGH,M,,NODATA,BJS,2480
Bihar,1951,7,5,CHANDI,GEN,SOMAR RAM,M,,NODATA,IND,1743
Bihar,1951,7,6,CHANDI,GEN,MAHABIR PRASAD,M,,NODATA,IND,688
Bihar,1951,7,7,CHANDI,GEN,JUDUNANDAN DUSADH,M,,NODATA,IND,404
Bihar,1951,7,8,CHANDI,GEN,SIARAM SINGH,M,,NODATA,IND,293
Bihar,1951,10,1,MOKAMAH,GEN,JAGDISH NARAIN SINHA,M,,NODATA,INC,8892
Bihar,1951,10,2,MOKAMAH,GEN,CHANDRA SHEKHAR SINHA,M,,NODATA,IND,5807
Bihar,1951,10,3,MOKAMAH,GEN,SHEO NANDAN PRASAD,M,,NODATA,IND,4189
Bihar,1951,10,4,MOKAMAH,GEN,SUKHDEO MAHATO,M,,NODATA,IND,1013
Bihar,1951,10,5,MOKAMAH,GEN,PRAMANAND SWAMI,M,,NODATA,RRP,996
Bihar,1951,10,6,MOKAMAH,GEN,SHYAMBIHARI PRASAD,M,,NODATA,FBL(MG),705
Bihar,1951,10,7,MOKAMAH,GEN,CHIRANJIB SINHA,M,,NODATA,IND,515
Bihar,1951,10,8,MOKAMAH,GEN,DWARKA PRASAD,M,,NODATA,IND,329
Bihar,1951,10,9,MOKAMAH,GEN,LUXMI MAHATO,M,,NODATA,IND,281
Bihar,1951,10,10,MOKAMAH,GEN,RAM CHARIT RAUT,M,,NODATA,IND,224
Bihar,1951,10,11,MOKAMAH,GEN,KANT LAL SINHA,M,,NODATA,IND,188
Bihar,1951,11,1,BARH,GEN,RANA SHEOLAKH PATI SINHA,M,,NODATA,INC,7278
Bihar,1951,11,2,BARH,GEN,TARINI PRASAD SINHA,M,,NODATA,IND,4979
Bihar,1951,11,3,BARH,GEN,MAHESHWAR PRASAD ROY,M,,NODATA,SP,3611
Bihar,1951,11,4,BARH,GEN,RAMLALAN SINHA,M,,NODATA,FBL(MG),2382
Bihar,1951,11,5,BARH,GEN,BRAHMADEO PRASAD,M,,NODATA,KMPP,1373
