goodreads_book_id,tag_id,count
1,30574,167697
1,11305,37174
1,11557,34173
1,8717,12986
1,33114,12716
1,11743,9954
1,14017,7169
1,5207,6221
1,22743,4974
1,32989,4364
1,27199,3857
1,11590,3456
1,18886,3374
1,6953,2408
1,22753,1881
1,24960,1821
1,1691,1742
1,6857,1560
1,15965,1309
1,6888,1095
1,26785,1093
1,6828,1027
1,2104,1022
1,9221,987
1,20774,984
1,7457,958
1,25765,858
1,15169,853
1,3389,836
1,1128,828
1,6895,798
1,11505,792
1,17124,748
1,22034,744
1,11370,738
1,11497,730
1,19974,718
1,3392,701
1,22973,673
1,25234,659
1,20849,653
1,33009,612
1,29452,600
1,32623,552
1,10644,552
1,31617,547
1,5751,534
1,16427,532
1,5090,522
1,25152,505
1,29011,484
1,24964,474
1,20939,465
1,33012,464
1,14024,450
1,20824,449
1,22689,446
1,6960,445
1,18045,440
1,3371,433
1,33124,416
1,21989,410
1,615,399
1,26897,392
1,32654,386
1,11491,384
1,11550,368
1,25151,364
1,18851,354
1,16799,351
1,27535,348
1,17213,347
1,33165,338
1,26138,334
1,11574,324
1,30521,324
1,25150,314
1,30573,312
1,2106,305
1,6838,300
1,17129,297
1,10197,294
1,25770,294
1,8055,289
1,25167,284
1,1120,283
1,7852,281
1,26842,281
1,25153,279
1,10641,279
1,6920,276
1,11579,274
1,22352,273
1,20781,272
1,6914,268
1,5444,266
1,18913,265
1,11595,264
1,6829,263
1,24092,258
3,30574,496107
3,11557,48220
3,11305,47478
3,8717,44640
3,33114,14984
3,11743,13239
3,14017,8559
3,5207,7917
3,22743,6066
3,22743,6065
3,32989,5276
3,27199,5140
3,11590,4769
3,18886,4302
3,6953,3828
3,24960,3163
3,6857,2571
3,1691,2430
3,22753,2350
3,7457,1898
3,6888,1771
3,6828,1639
3,25765,1563
3,19974,1558
3,15965,1475
3,2104,1453
3,26785,1380
3,6895,1284
3,17124,1245
3,20774,1227
3,3389,1143
3,11505,1095
3,9221,1082
3,22034,1082
3,1128,1049
3,3392,1032
3,15169,1025
3,25152,1011
3,11497,1006
3,22973,923
3,25234,906
3,11370,905
3,24964,820
3,20849,791
3,25151,786
3,5090,761
3,10644,743
3,33009,739
3,32623,725
3,6960,701
3,5751,693
3,29452,667
3,31617,664
3,20939,657
3,3371,627
3,11550,611
3,29011,608
3,20824,598
3,18045,594
3,25150,591
3,21989,576
3,16427,574
3,25153,571
3,33012,556
3,11491,556
3,22689,554
3,14024,541
3,16799,533
3,17213,528
3,6838,514
3,32654,505
3,25770,504
3,17129,498
3,26897,494
3,24963,491
3,25167,487
3,33124,480
3,33165,472
3,24999,462
3,6920,451
3,7404,450
3,11574,449
3,6914,416
3,10197,414
3,30573,404
3,6829,403
3,8055,397
3,12600,394
3,25149,389
3,27535,387
3,22352,387
3,2106,385
3,11595,378
3,30521,373
3,26842,369
3,24997,369
3,10641,359
3,5444,358
3,11579,357
3,20781,357
5,11557,40087
5,11305,39330
5,8717,17944
5,33114,12856
5,30574,11909
5,11743,10656
5,14017,7607
5,5207,6640
5,22743,5164
5,32989,4298
5,11590,4267
5,27199,4199
5,18886,3618
5,6953,2960
5,24960,2311
5,1691,1982
5,22753,1972
5,6857,1966
5,15965,1363
5,6888,1338
5,6828,1311
5,2104,1177
5,26785,1143
5,19974,1099
5,7457,1090
5,25765,1085
5,20774,1020
5,9221,988
5,3389,966
5,6895,961
5,11505,936
5,1128,932
5,17124,885
5,15169,848
5,22034,845
5,11497,831
5,3392,818
5,25234,789
5,11370,765
5,22973,720
5,25152,657
5,20849,652
5,33009,638
5,24964,620
5,10644,591
5,32623,589
5,31617,584
5,5751,575
5,5090,573
5,29452,566
5,16427,563
5,6960,554
5,25151,549
5,20939,526
5,29011,520
5,3371,496
5,27535,495
5,20824,493
5,18045,490
5,11491,486
5,30464,484
5,14024,483
5,22689,461
5,33012,449
5,21989,447
5,25150,439
5,16799,431
5,32654,423
5,26897,415
5,17213,403
5,33124,401
5,25153,399
5,11550,389
5,6838,388
5,11574,386
5,33165,384
5,25770,355
5,2106,349
5,17129,348
5,6920,331
5,6914,331
5,11579,329
5,25167,328
5,8055,324
5,10197,321
5,11595,321
5,30521,317
5,22352,313
5,6829,312
5,24999,310
5,30573,309
5,1120,305
5,26842,303
5,10641,303
5,25149,302
5,20781,299
5,32345,298
5,12600,282
5,3379,277
5,5444,273
6,11305,38378
6,33114,12979
6,11743,10249
6,14017,7472
6,22743,4977
6,32989,4383
6,27199,4007
6,11590,3597
6,6953,2656
6,24960,2065
6,22753,1904
6,1691,1892
6,6857,1716
6,15965,1343
6,6888,1227
6,26785,1130
6,2104,1090
6,7457,1032
6,20774,1010
6,25765,987
6,9221,984
6,3389,910
6,6895,879
6,1128,869
6,19974,868
6,15169,849
6,17124,837
6,11505,827
6,22034,826
6,3392,785
6,11370,749
6,25234,746
6,11497,727
6,22973,702
6,33009,645
6,20849,637
6,25152,616
6,9882,602
6,29452,581
6,24964,569
6,31617,568
6,32623,565
6,10644,557
6,5751,557
6,16427,555
6,5090,523
6,20939,493
6,29011,491
6,6960,489
6,14024,467
6,25151,465
6,3371,460
6,27535,456
6,33012,454
6,18045,452
6,20824,451
6,22689,445
6,21989,443
6,32654,400
6,33124,399
6,11491,396
6,26897,393
6,17213,387
6,11550,383
6,33165,383
6,16799,374
6,25150,361
6,6838,352
6,25153,344
6,25770,334
6,11574,327
6,17129,326
6,30521,322
6,10197,320
6,2106,312
6,30573,309
6,26842,307
6,8055,301
6,30574,298
6,7852,293
6,10641,293
6,6914,293
6,6920,292
6,6829,289
6,1120,285
6,22352,281
6,25167,277
6,20781,275
6,12600,274
6,24999,273
6,11579,272
6,11595,269
6,29190,266
6,24092,265
6,25149,263
6,7404,257
6,5444,256
6,11376,255
6,3379,250
6,26256,247
13,30574,75870
13,8717,8571
13,11557,3245
13,26837,2614
13,26771,2478
13,11743,1979
13,15048,1225
13,11305,933
13,22743,839
13,7457,551
13,26894,503
13,5207,495
13,7725,370
13,26785,347
13,15067,293
13,11590,225
13,9221,208
13,27199,196
13,12680,178
13,22753,163
13,27398,160
13,1691,141
13,22034,135
13,17213,134
13,26897,131
13,11370,127
13,20774,121
13,20849,106
13,18045,106
13,30521,101
13,7404,96
13,9801,96
13,10644,89
13,26816,89
13,5751,82
13,2104,81
13,26842,81
13,18367,77
13,28235,76
13,24960,73
13,15169,71
13,1642,69
13,27535,68
13,28300,66
13,10197,63
13,11376,63
13,26636,62
13,22330,61
13,26774,60
13,31505,59
13,1416,58
13,5090,57
13,21989,54
13,10210,54
13,2056,53
13,11497,52
13,33114,51
13,11505,51
13,22689,50
13,1659,50
13,240,50
13,15060,50
13,14064,40
13,27412,39
13,12663,39
13,30573,38
13,923,38
13,8055,36
13,7654,36
13,30464,35
13,14764,34
13,5444,33
13,27403,32
13,23349,32
13,13962,32
13,22352,31
13,30860,30
13,11491,29
13,25506,29
13,32586,28
13,2690,28
13,26838,28
13,236,27
13,26884,27
13,14408,26
13,10093,25
13,10094,25
13,28247,25
13,22301,25
13,7658,24
13,1128,23
13,3392,23
13,20824,23
13,2106,23
13,20781,23
13,23471,23
13,9477,23
13,23040,23
13,21815,23
13,6122,22
21,30574,33603
21,8717,12685
21,14552,3160
21,21773,1845
21,11557,1614
21,21689,1121
21,26816,1040
21,22743,573
21,3389,365
21,15048,340
21,5207,335
21,3392,297
21,30521,217
21,9221,196
21,23996,192
21,23569,186
21,17213,177
21,18045,175
21,3371,173
21,22753,156
21,11590,154
21,14467,150
21,23471,137
21,30755,130
21,25562,126
21,1416,125
21,15067,121
21,31505,117
21,10197,116
21,3358,114
21,10644,94
21,4631,88
21,3379,84
21,20774,80
21,30756,79
21,32586,77
21,10210,77
21,20849,76
21,3377,74
21,31155,73
21,21739,73
21,21685,73
21,21195,72
21,3288,71
21,22330,70
21,10997,68
21,10316,63
21,1642,61
21,15169,60
21,9477,59
21,12680,59
21,21187,59
21,14611,57
21,4949,56
21,9484,56
21,22689,54
21,10891,54
21,11743,53
21,27535,52
21,12940,49
21,22545,48
21,2705,48
21,23991,48
21,26862,47
21,13054,47
21,12962,46
21,32796,45
21,20731,43
21,10304,43
21,2277,42
21,25150,41
21,21766,41
21,941,38
21,21374,38
21,5858,37
21,23980,37
21,19524,36
21,8327,36
21,7305,36
21,24960,35
21,2104,35
21,21803,35
21,6692,35
21,25152,34
21,14064,34
21,25506,34
21,22733,34
21,26855,34
21,25151,32
21,32080,32
21,8346,32
21,22816,32
21,21732,32
21,11497,31
21,5444,31
21,603,31
21,12869,31
21,17807,31
21,28235,30
21,26888,29
30,30574,692
30,11743,322
30,7404,108
30,11305,105
30,27199,99
30,26785,96
30,1691,92
30,10731,71
30,33114,50
30,15979,50
30,14361,45
30,7457,44
30,11370,42
30,18886,39
30,2104,39
30,18566,38
30,10729,36
30,26897,34
30,20849,32
30,9221,31
30,30521,29
30,26771,28
30,11505,26
30,7423,26
30,26837,26
30,22743,23
30,11376,23
30,8717,22
30,15169,22
30,18045,22
30,11497,21
30,20824,21
30,24960,19
30,6828,18
30,21989,17
30,26842,17
30,1642,17
30,16674,17
30,11557,16
30,19959,16
30,32989,15
30,5090,15
30,22689,15
30,1659,15
30,21024,15
30,5207,13
30,11550,13
30,1120,13
30,32586,13
30,32130,12
30,18615,12
30,14677,12
30,6953,11
30,1128,11
30,5751,11
30,5557,11
30,254,11
30,6857,10
30,6838,10
30,5776,10
30,29011,9
30,11574,9
30,2106,9
30,22352,9
30,18680,9
30,9882,9
30,1540,9
30,27403,9
30,7658,9
30,23349,9
30,11290,9
30,20570,9
30,11372,9
30,4316,9
30,11310,9
30,3389,8
30,17213,8
30,14064,8
30,25106,8
30,32088,8
30,14752,8
30,2158,8
30,12082,8
30,12079,8
30,7415,8
30,2107,8
30,29452,7
30,33165,7
30,5444,7
