user_id,book_id
15,275
37,7173
34,483
70,498
94,1167
29,3508
29,2304
105,233
116,474
116,8697
29,709
149,8355
149,2259
149,430
149,8382
149,374
167,462
167,177
167,76
175,969
185,8167
112,5120
207,25
194,7231
194,1624
137,8859
116,1090
116,6173
116,3404
245,1167
162,345
256,408
297,408
320,969
332,8175
270,4120
270,374
364,741
364,2440
142,474
332,5437
301,383
301,72
301,243
222,3092
222,1014
206,3349
399,4139
399,1503
418,483
449,26
453,7251
449,177
488,1035
475,2846
488,4731
506,5540
506,138
506,784
516,3321
506,1124
506,374
143,9070
497,3560
557,6640
554,1646
543,1214
543,113
543,341
246,1078
564,233
564,663
580,4327
513,2192
513,233
513,969
585,2967
585,1224
590,25
590,68
590,3
603,374
610,233
605,111
632,4221
651,706
656,25
554,113
488,8633
488,854
639,5796
688,2309
242,5812
718,3320
718,5150
718,1910
718,3598
751,5216
654,4759
759,408
759,709
788,26
801,113
564,5327
9,1582
841,3508
850,5116
839,3600
871,408
871,485
871,4104
870,699
870,706
892,969
589,2440
900,489
900,819
900,3853
900,7231
900,2732
947,132
900,3464
506,951
969,1282
448,63
448,177
779,25
956,2604
956,2347
956,4192
956,4251
839,1224
989,3787
997,5216
997,8355
1029,374
253,663
253,1421
1038,1928
1068,225
1033,587
957,1214
991,984
1007,155
1007,646
1061,113
1091,1189
504,9588
547,7796
976,113
1007,171
1111,493
1122,4614
7,233
995,485
1135,127
1046,3027
1175,345
1193,453
1135,113
1135,1041
1162,984
1178,3321
1178,3092
638,430
11,3643
1254,233
1276,27
1276,53
746,8128
1147,408
1102,3613
1326,233
1347,1317
746,1392
257,1214
746,345
765,1883
765,7522
638,969
1005,3560
1354,3142
383,113
603,2304
1254,483
399,4614
1430,663
1430,72
1430,3085
1444,1282
669,1154
1434,233
1434,1106
1465,1041
1403,8071
804,229
253,7155
1450,225
1011,3027
1474,345
1534,6913
1476,1928
1526,5327
1038,4614
1619,233
1626,5670
1626,233
636,1734
1147,25
126,2309
1537,1364
